NOMBRE : MTLARP4_4_6_1.dat
VERTICES ORIGINALES : 16
VERTICES TOTALES : 152
DEPOTS : 6
11
12
13
14
15
16
LINEAS ORIGINALES : 9
LINE 1 2 76.4049 7
	17 12.3066
	18 10.9587
	19 10.0636
	20 9.74704
	21 10.0636
	22 10.9587
	2 12.3066
LINE 1 4 149.525 14
	23 11.1131
	24 10.9167
	25 10.7504
	26 10.6154
	27 10.513
	28 10.4442
	29 10.4096
	30 10.4096
	31 10.4442
	32 10.513
	33 10.6154
	34 10.7504
	35 10.9167
	4 11.1131
LINE 2 4 185.144 18
	36 10.3461
	37 10.3249
	38 10.3063
	39 10.2903
	40 10.2769
	41 10.2663
	42 10.2582
	43 10.2529
	44 10.2502
	45 10.2502
	46 10.2529
	47 10.2582
	48 10.2663
	49 10.2769
	50 10.2903
	51 10.3063
	52 10.3249
	4 10.3461
LINE 2 5 125.081 11
	53 12.1389
	54 11.6896
	55 11.3278
	56 11.0622
	57 10.8997
	58 10.845
	59 10.8997
	60 11.0622
	61 11.3278
	62 11.6896
	5 12.1389
LINE 3 6 193.754 19
	63 10.1994
	64 10.1988
	65 10.1982
	66 10.1978
	67 10.1974
	68 10.1971
	69 10.1968
	70 10.1967
	71 10.1966
	72 10.1965
	73 10.1966
	74 10.1967
	75 10.1968
	76 10.1971
	77 10.1974
	78 10.1978
	79 10.1982
	80 10.1988
	6 10.1994
LINE 4 5 223.798 21
	81 11.1432
	82 11.0005
	83 10.8712
	84 10.7559
	85 10.6549
	86 10.5687
	87 10.4976
	88 10.442
	89 10.4021
	90 10.3781
	91 10.3701
	92 10.3781
	93 10.4021
	94 10.442
	95 10.4976
	96 10.5687
	97 10.6549
	98 10.7559
	99 10.8712
	100 11.0005
	5 11.1432
LINE 4 7 204.967 20
	101 10.2616
	102 10.2574
	103 10.2537
	104 10.2505
	105 10.2477
	106 10.2454
	107 10.2435
	108 10.2421
	109 10.2412
	110 10.2407
	111 10.2407
	112 10.2412
	113 10.2421
	114 10.2435
	115 10.2454
	116 10.2477
	117 10.2505
	118 10.2537
	119 10.2574
	7 10.2616
LINE 6 9 209.172 19
	120 11.5865
	121 11.3987
	122 11.2303
	123 11.0823
	124 10.9555
	125 10.8506
	126 10.7684
	127 10.7093
	128 10.6736
	129 10.6617
	130 10.6736
	131 10.7093
	132 10.7684
	133 10.8506
	134 10.9555
	135 11.0823
	136 11.2303
	137 11.3987
	9 11.5865
LINE 8 10 169.344 16
	138 10.6722
	139 10.6371
	140 10.6069
	141 10.5816
	142 10.5614
	143 10.5462
	144 10.536
	145 10.5309
	146 10.5309
	147 10.536
	148 10.5462
	149 10.5614
	150 10.5816
	151 10.6069
	152 10.6371
	10 10.6722
COORDENADAS :
1	104.384	290.35
2	149.548	284.941
3	356.057	312.952
4	54.2563	207.172
5	198.64	222.371
6	409.563	195.401
7	67.0548	71.2305
8	160.394	111.406
9	341.246	78.9062
10	146.068	0
11	295.737	194.438
12	112.809	55.188
13	237.507	184.355
14	0	267.499
15	354.418	44.2257
16	336.631	264.752
17	110.241	284.604
18	116.296	280.516
19	122.549	278.086
20	129.001	277.313
21	135.651	278.198
22	142.5	280.741
23	103.032	283.066
24	101.337	275.988
25	99.2994	269.117
26	96.9187	262.453
27	94.1952	255.995
28	91.1289	249.744
29	87.7197	243.699
30	83.9677	237.861
31	79.8729	232.23
32	75.4352	226.805
33	70.6547	221.587
34	65.5314	216.575
35	60.0653	211.77
36	143.66	281.348
37	137.843	277.669
38	132.095	273.905
39	126.417	270.055
40	120.809	266.119
41	115.27	262.098
42	109.802	257.992
43	104.403	253.799
44	99.0741	249.522
45	93.815	245.158
46	88.6258	240.709
47	83.5064	236.175
48	78.4568	231.555
49	73.477	226.849
50	68.5671	222.058
51	63.727	217.182
52	58.9567	212.219
53	156.871	281.497
54	163.622	277.604
55	169.801	273.263
56	175.408	268.472
57	180.443	263.233
58	184.906	257.544
59	188.797	251.407
60	192.116	244.822
61	194.862	237.787
62	197.037	230.304
63	358.727	306.699
64	361.413	300.453
65	364.116	294.214
66	366.835	287.983
67	369.57	281.759
68	372.321	275.543
69	375.088	269.334
70	377.872	263.132
71	380.672	256.938
72	383.488	250.751
73	386.32	244.571
74	389.169	238.399
75	392.033	232.234
76	394.914	226.077
77	397.812	219.927
78	400.725	213.784
79	403.655	207.649
80	406.601	201.521
81	60.847	210.599
82	67.4663	213.756
83	74.114	216.643
84	80.7901	219.26
85	87.4948	221.606
86	94.2279	223.681
87	100.989	225.487
88	107.779	227.022
89	114.598	228.286
90	121.445	229.28
91	128.32	230.004
92	135.224	230.458
93	142.157	230.641
94	149.117	230.553
95	156.107	230.196
96	163.124	229.568
97	170.171	228.669
98	177.245	227.5
99	184.348	226.061
100	191.48	224.351
101	54.4616	200.334
102	54.7127	193.5
