NOMBRE : MTLARP8_8_4_1.dat
VERTICES ORIGINALES : 57
VERTICES TOTALES : 749
DEPOTS : 4
54
55
56
57
LINEAS ORIGINALES : 46
LINE 1 7 253.148 25
	58 10.3661
	59 10.3067
	60 10.2523
	61 10.2027
	62 10.1582
	63 10.1188
	64 10.0844
	65 10.0553
	66 10.0314
	67 10.0128
	68 9.99947
	69 9.99147
	70 9.9888
	71 9.99147
	72 9.99947
	73 10.0128
	74 10.0314
	75 10.0553
	76 10.0844
	77 10.1188
	78 10.1582
	79 10.2027
	80 10.2523
	81 10.3067
	7 10.3661
LINE 1 8 93.4452 9
	82 10.383
	83 10.3828
	84 10.3827
	85 10.3827
	86 10.3827
	87 10.3827
	88 10.3827
	89 10.3828
	8 10.383
LINE 2 8 194.283 19
	90 10.5658
	91 10.4541
	92 10.3545
	93 10.2674
	94 10.1931
	95 10.132
	96 10.0841
	97 10.0498
	98 10.0292
	99 10.0223
	100 10.0292
	101 10.0498
	102 10.0841
	103 10.132
	104 10.1931
	105 10.2674
	106 10.3545
	107 10.4541
	8 10.5658
LINE 3 4 160.407 16
	108 10.0487
	109 10.0394
	110 10.0314
	111 10.0248
	112 10.0195
	113 10.0155
	114 10.0128
	115 10.0115
	116 10.0115
	117 10.0128
	118 10.0155
	119 10.0195
	120 10.0248
	121 10.0314
	122 10.0394
	4 10.0487
LINE 3 9 108.198 10
	123 11.7041
	124 11.1312
	125 10.6813
	126 10.3706
	127 10.2117
	128 10.2117
	129 10.3706
	130 10.6813
	131 11.1312
	9 11.7041
LINE 4 5 161.785 16
	132 10.2134
	133 10.1728
	134 10.138
	135 10.1088
	136 10.0854
	137 10.0679
	138 10.0561
	139 10.0503
	140 10.0503
	141 10.0561
	142 10.0679
	143 10.0854
	144 10.1088
	145 10.138
	146 10.1728
	5 10.2134
LINE 5 6 176.205 17
	147 10.9431
	148 10.7317
	149 10.545
	150 10.3844
	151 10.2512
	152 10.1463
	153 10.0707
	154 10.0251
	155 10.0099
	156 10.0251
	157 10.0707
	158 10.1463
	159 10.2512
	160 10.3844
	161 10.545
	162 10.7317
	6 10.9431
LINE 5 10 191.442 19
	163 10.1752
	164 10.1423
	165 10.1131
	166 10.0878
	167 10.0663
	168 10.0486
	169 10.0349
	170 10.0251
	171 10.0192
	172 10.0172
	173 10.0192
	174 10.0251
	175 10.0349
	176 10.0486
	177 10.0663
	178 10.0878
	179 10.1131
	180 10.1423
	10 10.1752
LINE 7 11 139.738 14
	181 9.98862
	182 9.98524
	183 9.98242
	184 9.98017
	185 9.97848
	186 9.97735
	187 9.97678
	188 9.97678
	189 9.97735
	190 9.97848
	191 9.98017
	192 9.98242
	193 9.98524
	11 9.98862
LINE 9 13 248.484 24
	194 10.4389
	195 10.4167
	196 10.3965
	197 10.3783
	198 10.362
	199 10.3478
	200 10.3356
	201 10.3254
	202 10.3173
	203 10.3111
	204 10.3071
	205 10.305
	206 10.305
	207 10.3071
	208 10.3111
	209 10.3173
	210 10.3254
	211 10.3356
	212 10.3478
	213 10.362
	214 10.3783
	215 10.3965
	216 10.4167
	13 10.4389
LINE 10 16 166.172 16
	217 10.7998
	218 10.6371
	219 10.4956
	220 10.3762
	221 10.2797
	222 10.2067
	223 10.1578
	224 10.1332
	225 10.1332
	226 10.1578
	227 10.2067
	228 10.2797
	229 10.3762
	230 10.4956
	231 10.6371
	16 10.7998
LINE 10 17 252.626 25
	232 10.2451
	233 10.2103
	234 10.1785
	235 10.1496
	236 10.1236
	237 10.1007
	238 10.0808
	239 10.0639
	240 10.05
	241 10.0393
	242 10.0315
	243 10.0269
	244 10.0254
	245 10.0269
	246 10.0315
	247 10.0393
	248 10.05
	249 10.0639
	250 10.0808
	251 10.1007
	252 10.1236
	253 10.1496
	254 10.1785
	255 10.2103
	17 10.2451
LINE 11 19 254.361 25
	256 10.1751
	257 10.1749
	258 10.1748
	259 10.1747
	260 10.1745
	261 10.1744
	262 10.1743
	263 10.1743
	264 10.1742
	265 10.1741
	266 10.1741
	267 10.1741
	268 10.1741
	269 10.1741
	270 10.1741
	271 10.1741
	272 10.1742
	273 10.1743
	274 10.1743
	275 10.1744
	276 10.1745
	277 10.1747
	278 10.1748
	279 10.1749
	19 10.1751
LINE 12 20 142.049 14
	280 10.1464
	281 10.1464
	282 10.1464
	283 10.1464
	284 10.1463
	285 10.1463
	286 10.1463
	287 10.1463
	288 10.1463
	289 10.1463
	290 10.1464
	291 10.1464
	292 10.1464
	20 10.1464
LINE 14 15 185.571 18
	293 10.8713
	294 10.6779
	295 10.5057
	296 10.3559
	297 10.2294
	298 10.127
	299 10.0495
	300 9.99753
	301 9.97144
	302 9.97144
	303 9.99753
	304 10.0495
	305 10.127
	306 10.2294
	307 10.3559
	308 10.5057
	309 10.6779
	15 10.8713
LINE 15 16 179.445 18
	310 10.1123
	311 10.0621
	312 10.018
	313 9.98005
	314 9.9483
	315 9.92282
	316 9.90367
	317 9.89089
	318 9.88449
	319 9.88449
	320 9.89089
	321 9.90367
	322 9.92282
	323 9.9483
	324 9.98005
	325 10.018
	326 10.0621
	16 10.1123
LINE 16 22 145.097 14
	327 10.5205
	328 10.4488
	329 10.3886
	330 10.3402
	331 10.3038
	332 10.2794
	333 10.2672
	334 10.2672
	335 10.2794
	336 10.3038
	337 10.3402
	338 10.3886
	339 10.4488
	22 10.5205
LINE 17 23 105.296 10
	340 10.645
	341 10.5684
	342 10.5105
	343 10.4718
	344 10.4524
	345 10.4524
	346 10.4718
	347 10.5105
	348 10.5684
	23 10.645
LINE 18 25 147.513 14
	349 11.0087
	350 10.7949
	351 10.6134
	352 10.4659
	353 10.354
	354 10.2787
	355 10.2408
	356 10.2408
	357 10.2787
	358 10.354
	359 10.4659
	360 10.6134
	361 10.7949
	25 11.0087
