NOMBRE : MTLARP4_4_3_2.dat
VERTICES ORIGINALES : 16
VERTICES TOTALES : 179
DEPOTS : 3
14
15
16
LINEAS ORIGINALES : 11
LINE 1 2 142.735 13
	17 11.9973
	18 11.5071
	19 11.0899
	20 10.7543
	21 10.508
	22 10.3574
	23 10.3067
	24 10.3574
	25 10.508
	26 10.7543
	27 11.0899
	28 11.5071
	2 11.9973
LINE 2 3 159.289 14
	29 12.1641
	30 11.8115
	31 11.5095
	32 11.2619
	33 11.0727
	34 10.9447
	35 10.8801
	36 10.8801
	37 10.9447
	38 11.0727
	39 11.2619
	40 11.5095
	41 11.8115
	3 12.1641
LINE 3 6 124.374 11
	42 11.6651
	43 11.4526
	44 11.2845
	45 11.163
	46 11.0894
	47 11.0647
	48 11.0894
	49 11.163
	50 11.2845
	51 11.4526
	6 11.6651
LINE 4 7 214.637 20
	52 10.8082
	53 10.7842
	54 10.7628
	55 10.744
	56 10.7279
	57 10.7145
	58 10.7037
	59 10.6956
	60 10.6902
	61 10.6875
	62 10.6875
	63 10.6902
	64 10.6956
	65 10.7037
	66 10.7145
	67 10.7279
	68 10.744
	69 10.7628
	70 10.7842
	7 10.8082
LINE 5 9 254.985 23
	71 11.4945
	72 11.3851
	73 11.2853
	74 11.1952
	75 11.1151
	76 11.0452
	77 10.9857
	78 10.9368
	79 10.8986
	80 10.8713
	81 10.8548
	82 10.8493
	83 10.8548
	84 10.8713
	85 10.8986
	86 10.9368
	87 10.9857
	88 11.0452
	89 11.1151
	90 11.1952
	91 11.2853
	92 11.3851
	9 11.4945
LINE 6 9 191.77 17
	93 11.916
	94 11.6836
	95 11.4785
	96 11.302
	97 11.1555
	98 11.0402
	99 10.9571
	100 10.907
	101 10.8902
	102 10.907
	103 10.9571
	104 11.0402
	105 11.1555
	106 11.302
	107 11.4785
	108 11.6836
	9 11.916
LINE 6 10 134.878 12
	109 11.5021
	110 11.3603
	111 11.2456
	112 11.1588
	113 11.1006
	114 11.0713
	115 11.0713
	116 11.1006
	117 11.1588
	118 11.2456
	119 11.3603
	10 11.5021
LINE 8 9 214.761 19
	120 12.1206
	121 11.8571
	122 11.6196
	123 11.4097
	124 11.2291
	125 11.0791
	126 10.961
	127 10.8759
	128 10.8245
	129 10.8073
	130 10.8245
	131 10.8759
	132 10.961
	133 11.0791
	134 11.2291
	135 11.4097
	136 11.6196
	137 11.8571
	9 12.1206
LINE 9 11 131.61 12
	138 11.0771
	139 11.0176
	140 10.9697
	141 10.9337
	142 10.9096
	143 10.8975
	144 10.8975
	145 10.9096
	146 10.9337
	147 10.9697
	148 11.0176
	11 11.0771
LINE 11 12 224.01 21
	149 10.9213
	150 10.8459
	151 10.778
	152 10.7178
	153 10.6652
	154 10.6206
	155 10.584
	156 10.5554
	157 10.5349
	158 10.5226
